Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Geographical_Location,Vehicle_Speed,Fraud_indicator,state,month,time-of-day
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,2,16
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",95,Fraud,Karnataka,2,21
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,2,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,2,8
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,2,13
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,2,18
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",66,Fraud,Karnataka,2,23
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,2,5
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",51,Fraud,Karnataka,2,9
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,2,14
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,2,17
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,2,23
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,2,4
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",93,Fraud,Karnataka,2,8
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,2,13
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,2,16
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",59,Fraud,Karnataka,2,22
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",91,Fraud,Karnataka,2,4
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,2,8
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",86,Fraud,Karnataka,2,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",56,Fraud,Karnataka,2,18
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,2,22
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,2,4
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",97,Fraud,Karnataka,2,8
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,2,13
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,2,18
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",54,Fraud,Karnataka,2,23
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,2,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",65,Fraud,Karnataka,3,9
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,3,14
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",50,Not Fraud,Karnataka,3,18
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",75,Fraud,Karnataka,3,23
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",58,Not Fraud,Karnataka,3,3
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",89,Fraud,Karnataka,3,7
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",44,Fraud,Karnataka,3,12
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,3,16
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,3,21
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,3,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",55,Fraud,Karnataka,3,8
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,3,13
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,3,18
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",87,Fraud,Karnataka,3,23
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,3,5
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",73,Fraud,Karnataka,3,10
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,3,14
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,3,19
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,3,0
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",82,Fraud,Karnataka,3,6
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",56,Fraud,Karnataka,3,11
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,3,15
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,3,21
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,3,2
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,3,6
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,3,11
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,3,16
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",88,Fraud,Karnataka,3,21
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",74,Fraud,Karnataka,3,2
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",96,Fraud,Karnataka,3,7
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,3,12
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",85,Fraud,Karnataka,4,16
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,4,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,4,3
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,4,7
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,4,12
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",48,Fraud,Karnataka,4,15
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",77,Fraud,Karnataka,4,21
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",60,Fraud,Karnataka,4,2
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,4,6
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,4,11
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",97,Fraud,Karnataka,4,15
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,4,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",81,Fraud,Karnataka,4,1
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",64,Fraud,Karnataka,4,6
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,4,11
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,4,15
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,4,21
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",55,Fraud,Karnataka,4,3
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,4,7
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",63,Fraud,Karnataka,4,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,4,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,4,22
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,4,4
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",58,Fraud,Karnataka,4,8
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,4,13
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",67,Fraud,Karnataka,4,18
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",94,Fraud,Karnataka,4,23
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",71,Fraud,Karnataka,1,8
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,1,12
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,1,16
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,1,22
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",66,Fraud,Karnataka,1,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,1,11
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",44,Fraud,Karnataka,1,14
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,1,18
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,1,2
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,1,6
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",49,Not Fraud,Karnataka,1,10
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",74,Fraud,Karnataka,1,15
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",69,Fraud,Karnataka,1,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,1,1
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",57,Fraud,Karnataka,1,7
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,1,12
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,1,17
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,1,22
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",46,Fraud,Karnataka,1,4
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",81,Fraud,Karnataka,1,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",60,Fraud,Karnataka,1,13
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",88,Fraud,Karnataka,1,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",53,Fraud,Karnataka,1,22
Motorcycle,D-104,Regular,Small,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,1,2
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,1,7
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,1,12
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",50,Not Fraud,Karnataka,1,15
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",75,Not Fraud,Karnataka,1,21
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",59,Fraud,Karnataka,1,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,1,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,1,11
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,2,16
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",45,Fraud,Karnataka,2,21
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,2,3
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,2,8
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",86,Fraud,Karnataka,2,13
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",51,Not Fraud,Karnataka,2,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,2,23
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",56,Fraud,Karnataka,2,5
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,2,9
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",70,Fraud,Karnataka,2,14
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,2,17
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",47,Fraud,Karnataka,2,23
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,2,4
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",65,Not Fraud,Karnataka,2,8
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Fraud,Karnataka,2,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",53,Fraud,Karnataka,2,16
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,2,22
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,2,4
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",89,Fraud,Karnataka,2,8
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,2,13
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,2,18
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",67,Fraud,Karnataka,2,22
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",95,Fraud,Karnataka,2,4
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,2,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",80,Fraud,Karnataka,2,13
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,2,18
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,2,23
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,2,5
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",73,Fraud,Karnataka,3,9
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",68,Fraud,Karnataka,3,14
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",91,Fraud,Karnataka,3,18
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,3,23
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",82,Fraud,Karnataka,3,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,3,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,3,12
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,3,16
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",94,Fraud,Karnataka,3,21
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,3,3
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,3,8
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,3,13
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,3,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,3,23
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Fraud,Karnataka,3,5
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,3,10
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,3,14
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,3,19
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,3,0
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,3,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,3,11
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,3,15
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,3,21
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,3,2
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",83,Fraud,Karnataka,3,6
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",71,Fraud,Karnataka,3,11
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,3,16
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,3,21
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",81,Fraud,Karnataka,3,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,3,7
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,1,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",57,Fraud,Karnataka,1,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",86,Fraud,Karnataka,1,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,1,22
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,1,5
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Fraud,Karnataka,1,11
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",90,Fraud,Karnataka,1,14
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,1,18
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,1,2
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",58,Not Fraud,Karnataka,1,6
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",87,Fraud,Karnataka,1,10
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,1,15
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",94,Fraud,Karnataka,1,20
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,1,1
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",89,Fraud,Karnataka,1,7
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,1,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,1,17
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,1,22
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,1,4
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,1,8
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",78,Fraud,Karnataka,1,13
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,1,16
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,1,22
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,1,2
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,1,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,1,12
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,1,15
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",57,Fraud,Karnataka,1,21
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",83,Fraud,Karnataka,1,3
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,1,7
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,1,11
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,2,16
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,2,21
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,2,3
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,2,8
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,2,13
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,2,18
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,2,23
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,2,5
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",50,Not Fraud,Karnataka,2,9
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",75,Not Fraud,Karnataka,2,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",59,Not Fraud,Karnataka,2,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,2,23
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",66,Fraud,Karnataka,2,4
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,2,8
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",45,Not Fraud,Karnataka,2,13
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,2,16
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Fraud,Karnataka,2,22
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",86,Fraud,Karnataka,2,4
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",51,Not Fraud,Karnataka,2,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",73,Fraud,Karnataka,2,13
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,2,18
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,2,22
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",70,Not Fraud,Karnataka,2,4
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,2,8
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,2,13
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,2,18
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",65,Fraud,Karnataka,2,23
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,2,5
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,3,9
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,3,14
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",61,Fraud,Karnataka,3,18
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,3,23
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,3,3
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",78,Fraud,Karnataka,3,7
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,3,12
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,3,16
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,3,21
